日期,一级分类,二级分类,金额,成员,备注,是否共同开销,月份
2026/4/24,餐饮,零食,5.99,ljy,丰e足食-智慧零售WH,否,04
2026/4/25,交通,公交地铁,5.00,ljy,地铁_奥林匹克公园,否,04
2026/4/25,交通,公交地铁,4.00,ljy,地铁_双井,否,04
2026/4/25,交通,公交地铁,5.00,ljy,地铁_青年路,否,04
2026/4/26,餐饮,三餐,20.00,ljy,扫收钱码付款-给姬晓峰（支付宝标餐饮美食）,否,04
2026/4/27,宠物,玩耍,30.00,ljy,宠物喂养上门服务（闲鱼，分类待确认）,否,04
2026/4/28,餐饮,三餐,11.00,ljy,北京超意兴餐饮文化有限公司,否,04
2026/4/28,购物,日用品,6.97,ljy,便利蜂（量子银座店）,否,04
2026/4/28,购物,日用品,9.09,ljy,便利蜂（量子银座店）,否,04
2026/4/28,餐饮,三餐,18.00,ljy,北京超意兴（日期截图被截断，≤4/28，待确认）,否,04
2026/4/29,餐饮,三餐,21.00,ljy,北京超意兴餐饮文化有限公司,否,04
2026/4/29,购物,数字产品,199.00,ljy,Kimi Vip（自动扣款）,否,04
2026/4/29,交通,公交地铁,5.00,ljy,地铁_健德门,否,04
2026/4/29,交通,打车,8.19,ljy,高德打车订单（自动扣款；日期截图被截断，≤4/29，待确认）,否,04
2026/4/30,购物,日用品,21.40,ljy,CDLAWSON成都东站店,否,04
2026/4/30,交通,公交地铁,2.00,ljy,松潘县松游晓畅公共交通运输,否,04
2026/4/30,宠物,宠物医疗,34.75,ljy,2026.4月保费缴清-宠物医保-**宇,否,04
